43956,123.39,124.32,122.47,122.58,3897761
43955,120.82,121.97,119.391,121.68,4016551
43956,123.19,123.47,121.39,121.87,4923913
43957,126.52,127.27,125.22,125.56,6630032
43958,128.88,129.31,127.53,128.69,5252734
43959,128.03,128.2,125.38,126.27,4775867
43960,125.56,126.99,125.47,125.92,4920443
43961,122.41,125,120.7634,124.72,4985575
43962,119.57,123.03,119.12,121.35,6873899
43963,119.87,120.33,117.55,119.31,7085901
43964,114,117.145,112.06,116.76,14341304
43965,119.15,122.8635,118.14,120.41,7965530
43966,119.3,120.39,117.92,120.12,4964018
43967,119.01,119.75,114.42,115.73,6438128
43968,119.12,120.1852,116.76,118.69,5632156
43969,123.46,125.18,122.62,123.91,5087292
43970,121.63,121.8,118.04,121.15,5118777
43971,120.48,122.92,120.1672,121.5,5576210
43972,116.31,119.96,115.0742,119.29,5155987
43973,118.8,119.57,114.87,114.94,5592463
43974,110.35,115.63,110.13,114.82,7026457
43975,108.92,110.07,104.92,106.34,4538113
43976,105.37,110.32,105.14,110,6327540
43977,106.36,109.92,104.521,105.14,6111890
43978,112,113.81,110.17,110.93,6342167
43979,108.09,113.46,107.81,112.93,5562501
43980,108.58,111.5,107.645,108.03,6421470
43981,106.91,113.15,105.57,112.89,7153135
43982,105.48,112.4779,102.83,105.85,8646557
43983,99.99,106.04,99.26,105.48,7967768
43984,94.6,97.74,90.56,94.77,9718602
43985,100.92,100.99,94.71,95.39,10543213
43986,102.33,103.69,98.235,100.34,8391294
43987,99.41,106.9345,99.4,103.55,8751994
43988,100.61,107.395,97.1,106.65,8887501
43989,98,107.41,95,99.08,10564044
43990,108.68,109.16,100.81,107.95,12493419
43991,109.65,109.8,102.28,102.81,12485925
43992,121.01,122.58,116.3838,117.97,8446480
43993,122.78,124.88,115.76,124.77,11403865
43994,120.16,122.41,117.28,117.81,10750357
43995,126.7,128.33,124.52,127.73,8192525
43996,130.5,132.29,128.45,129.55,5445193
43997,131.58,134.28,129,134.22,4994682
43998,134.48,136.095,127.8,128.9,7893390
43999,130.75,134.44,127.95,134.3,8528971
44000,129.98,131.09,126.36,130.15,13009236
44001,137.24,138.69,133.01,133.11,8404903
44002,142.9,144.06,139.6,139.75,5407690
44003,146.51,147.07,141.261,141.71,6210878
44004,145.51,148.05,145.38,146.43,5447948
44005,151.04,151.04,148.84,149.84,3536740
44006,150.81,151.62,149.51,151.22,2880483
44007,151.54,151.89,150.31,150.86,2732905
44008,149.79,151.38,149.64,151.1,3343038
44009,154.42,154.56,149.77,150.7,6095081
44010,154.37,154.83,153.41,154.31,3819757
44011,153.75,155.6,153.52,155.31,4437792
44012,155.12,155.22,152.7304,153.48,3833574
44013,152.97,154.44,151.58,154.43,5237553
44014,154.55,155.54,152.92,153.41,6414553
44015,156.82,158.75,155.42,156.76,8394374
44016,150.21,157.44,150.15,156.33,14379714
44017,147.78,149.38,146.88,149.11,5619700
44018,144.25,147.28,143.9,146.27,8886414
44019,142.9,144.05,140.79,143.73,18987138
44020,136.76,136.97,134.97,136.77,5007038
44021,139.17,139.58,137.595,137.69,3053189
44022,139.5,140.47,138.75,139.55,3449000
44023,138.5,140.069,138.1,138.62,4165146
44024,143.39,143.92,140.46,140.56,5579292
44025,144.2,144.4097,142.15,142.87,5654308
44026,143.32,145.79,142.55,143.89,16464948
44027,137.81,139.35,137.6,139.17,7130819
44028,136.54,138.33,136.16,138.31,5622251
44029,137.32,138.19,137.01,137.98,4319896
44030,136,138.055,135.71,136.62,4045591
44031,136.28,137.139,135.55,135.82,3680958
44032,135.48,136.64,135.07,136.6,3162843
44033,137,137.87,136.31,136.69,3255398
44034,135.74,136.79,135.31,136.74,3730549
44035,134.51,135.86,133.92,135.31,4345952
44036,133.69,134.96,133.4,134.19,3267592
44037,133.42,134.24,133.2,134.1,2421128
44038,133.57,134.86,133.56,134.34,2373470
44039,135,135.92,134.7701,135.42,3148461
44040,132.53,134.12,132.4,134.04,3777504
44041,135.2,135.3,132.5,132.81,4118929
44042,135,135.75,134.87,135.27,2752185
44043,134.98,135.3055,134.65,134.91,2129654
44044,135.61,135.62,134.61,134.98,1202087
44045,135.78,136.15,135,135.55,2803158
44046,135.74,136.42,134.95,135.59,7111779
44047,134.46,134.725,134.19,134.56,3866494
44048,134.55,135,134.1504,134.41,3101819
44049,134.28,134.69,133.46,134.22,2907186
44050,134.94,135.45,133.85,134.13,3049224
44051,134.75,135.5,134.01,134.21,2534970
44052,133.7,135.6604,133.66,135.32,4824103
44053,134.11,134.51,133.67,133.76,3698494
